predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
absolute,national,C,historical trend R95p,rx1day,ssp126,23,13,-0.116,0.5877,-0.201,0.722,0.9668,no,no
absolute,national,C,historical trend R95p,rx1day,ssp245,23,13,-0.131,0.5613,-0.179,0.726,0.9668,no,no
absolute,national,C,historical trend R95p,rx1day,ssp370,23,13,-0.01,0.9624,-0.21,0.508,0.997,no,no
absolute,national,C,historical trend R95p,rx1day,ssp585,23,13,-0.12,0.5799,-0.227,0.741,0.9668,no,no
absolute,national,C,historical trend R95p,r95p,ssp126,23,13,-0.119,0.5983,-0.178,0.776,0.9668,no,no
absolute,national,C,historical trend R95p,r95p,ssp245,23,13,-0.097,0.6599,-0.192,0.68,0.9926,no,no
absolute,national,C,historical trend R95p,r95p,ssp370,23,13,-0.004,0.9832,-0.224,0.479,0.997,no,no
absolute,national,C,historical trend R95p,r95p,ssp585,23,13,-0.062,0.7766,-0.217,0.638,0.997,no,no
absolute,eastern,A,PFS,rx1day,ssp126,13,8,0.115,0.7427,-1.857,0.686,0.997,no,no
absolute,eastern,A,PFS,rx1day,ssp245,13,8,0.337,0.2619,-0.784,0.952,0.6476,no,no
absolute,eastern,A,PFS,rx1day,ssp370,13,8,0.057,0.8732,-1.932,0.602,0.997,no,no
absolute,eastern,A,PFS,rx1day,ssp585,13,8,-0.016,0.9636,-1.909,0.493,0.997,no,no
absolute,eastern,A,PFS,r95p,ssp126,13,8,0.038,0.8978,-1.292,0.601,0.997,no,no
absolute,eastern,A,PFS,r95p,ssp245,13,8,0.386,0.1914,-0.191,0.973,0.5181,no,no
absolute,eastern,A,PFS,r95p,ssp370,13,8,-0.112,0.7349,-0.48,0.656,0.997,no,no
absolute,eastern,A,PFS,r95p,ssp585,13,8,-0.185,0.5829,-1.419,0.628,0.9668,no,no
absolute,eastern,B,Rx1day climatology,rx1day,ssp126,23,13,-0.783,0.0012,0.484,0.994,0.0308,yes,yes
absolute,eastern,B,Rx1day climatology,rx1day,ssp245,23,13,-0.324,0.1324,-0.829,0.977,0.4114,no,yes
absolute,eastern,B,Rx1day climatology,rx1day,ssp370,23,13,-0.725,0.0004,0.444,0.995,0.0264,yes,yes
